,Unnamed: 0,xi,GrantDate,PatentNo,MatchAsgName,comp,Returns
0,1,76.49261474609379,2003-01-21,6508800,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.11377391876181175
1,2,35.546592712402294,2003-02-18,6520948,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.18632258558568165
2,3,36.8217620849609,2003-02-25,6523698,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.15363554130222576
3,4,80.483528137207,2003-01-14,6506333,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.017351885867151737
4,5,80.2239761352539,2003-01-07,6503453,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.1379465916520697
5,6,72.7206726074219,2003-01-28,6511411,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.6513415651455338
6,7,52.0696029663086,2003-03-11,6532399,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.17592954025689594
7,8,36.8217620849609,2003-02-25,6524231,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.15363554130222576
8,9,47.912681579589794,2003-04-01,6542910,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.035280596450019144
9,10,35.546592712402294,2003-02-18,6520997,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.18632258558568165
10,11,25.3656826019287,2003-03-04,6528173,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.08097862054037143
11,12,30.509290695190398,2003-04-29,6554023,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.27452983921916013
12,13,25.7790451049805,2003-04-08,6544787,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.2234922836037027
13,14,30.509290695190398,2003-04-29,6555391,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.27452983921916013
14,15,50.497676849365206,2003-03-25,6537445,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.07686736604443864
15,16,33.508693695068395,2003-06-03,6572604,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.2218719104395039
16,17,49.3760566711426,2003-04-15,6548729,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.24771290219825903
17,18,67.93662261962889,2003-06-17,6579583,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.11122153108633995
18,19,60.761802673339794,2003-05-27,6569125,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.37270024933880275
19,20,32.9910354614258,2003-06-24,6582386,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.45321952061163634
20,21,23.6648807525635,2003-07-22,6595964,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.08049784032423002
21,22,21.667699813842802,2003-06-10,6576201,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.09365822486687488
22,23,21.1356582641602,2003-07-01,6586573,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.2483140183155165
23,24,21.667699813842802,2003-06-10,6575205,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.09365822486687488
24,25,32.9910354614258,2003-06-24,6582349,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.45321952061163634
25,26,32.9693565368652,2003-07-15,6592542,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.16298308770354905
26,27,23.6648807525635,2003-07-22,6596230,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.08049784032423002
27,28,14.326548576355,2003-09-02,6613187,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.07265523205890681
28,29,36.2783355712891,2003-08-12,6604545,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.10211861148603704
29,30,71.9470138549805,2003-08-26,6610040,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.29395035392166025
30,31,36.466770172119105,2003-07-29,6599515,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.28345697213090865
31,32,36.881507873535206,2003-08-05,6601710,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.14673059066166938
32,33,36.881507873535206,2003-08-05,6602508,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.14673059066166938
33,34,14.326548576355,2003-09-02,6613336,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.07265523205890681
34,35,36.2783355712891,2003-08-12,6605076,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.10211861148603704
35,36,14.326548576355,2003-09-02,6612447,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.07265523205890681
36,37,70.9036026000977,2003-08-19,6607784,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.04975700860349756
37,38,14.326548576355,2003-09-02,6613070,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.07265523205890681
38,39,14.326548576355,2003-09-02,6613566,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.07265523205890681
39,40,76.688346862793,2003-09-23,6623638,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,-0.11634667857237967
40,41,37.7273101806641,2003-10-14,6632318,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.051897662305752906
41,42,37.7273101806641,2003-10-14,6632201,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.051897662305752906
42,43,82.2375946044922,2003-12-16,6663743,BAXTER INTERNATIONAL INC,BECTON DICKINSON AND COMPANY,0.06694239912359323
