,Unnamed: 0,xi,GrantDate,PatentNo,MatchAsgName,comp,Returns
0,1,61.6076850891113,2003-02-11,6518321,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.1370049694567727
1,2,127.990936279297,2003-01-07,6503956,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.01271965567592228
2,3,63.832637786865206,2003-02-04,6515034,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.12637471906166392
3,4,123.135887145996,2003-04-08,6544495,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.2676537495305933
4,5,109.09049987793001,2003-03-11,6531515,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.11169859332799863
5,6,21.740173339843803,2003-04-01,6540903,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.15423507393528738
6,7,21.740173339843803,2003-04-01,6541524,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.15423507393528738
7,8,117.111572265625,2003-04-15,6547958,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.00029760612756839656
8,9,37.9693260192871,2003-04-29,6555089,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.15712533855629093
9,10,127.311050415039,2003-05-20,6566411,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.062420602786243486
10,11,69.92343139648439,2003-08-12,6605206,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.15927529149569664
11,12,140.95263671875,2003-06-17,6579441,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.07454112934247871
12,13,69.92343139648439,2003-08-12,6605267,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.15927529149569664
13,14,124.380233764648,2003-09-16,6620401,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.08862206978897175
14,15,135.558517456055,2003-10-07,6630066,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.09372848326655975
15,16,144.01037597656202,2003-09-09,6616830,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.04865286764797623
16,17,143.161361694336,2003-09-23,6623659,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.06992119973747099
17,18,135.810134887695,2003-09-30,6626122,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.10762108527050522
18,19,45.739566802978494,2003-10-14,6632415,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.13454285756916634
19,20,45.739566802978494,2003-10-14,6632416,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.13454285756916634
20,21,45.739566802978494,2003-10-14,6632417,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.13454285756916634
21,22,142.49397277832,2003-10-21,6635681,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.04379073169079734
22,23,158.170547485352,2003-12-02,6656342,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.11591858526065452
23,24,78.7210311889648,2004-01-13,6676923,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.122520734497922
24,25,78.7210311889648,2004-01-13,6676732,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.122520734497922
25,26,156.322204589844,2003-12-23,6667347,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.19603509963097215
26,27,165.789962768555,2004-03-02,6700027,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.0496928674973459
27,28,177.34826660156202,2004-01-27,6682711,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.0634810171659786
28,29,56.3119087219238,2004-03-09,6703353,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.03489051853498616
29,30,160.715866088867,2004-02-03,6686511,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.09073023787691001
30,31,171.412414550781,2004-03-16,6706936,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.08478357804187285
31,32,165.029373168945,2004-02-17,6693138,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.1440196228267156
32,33,56.3119087219238,2004-03-09,6703535,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.03489051853498616
33,34,56.3119087219238,2004-03-09,6702935,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.03489051853498616
34,35,86.0388565063477,2004-04-20,6723889,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.05143085983147963
35,36,185.705352783203,2004-04-13,6720359,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,0.15522526159144237
36,37,181.07600402832,2004-05-04,6730236,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.08028422370277308
37,38,90.88320922851558,2004-05-11,6733742,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.25967050805594594
38,39,90.88320922851558,2004-05-11,6734329,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.25967050805594594
39,40,89.1232376098633,2004-06-01,6743290,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.02435809963139694
40,41,89.1232376098633,2004-06-01,6743962,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.02435809963139694
41,42,60.2563285827637,2004-07-27,6767372,CHEVRON USA INC,CONOCOPHILLIPS COMPANY,-0.058318140235187214
