"","xi","GrantDate","PatentNo","MatchAsgName","comp"
"1",35.9352989196777,"2003-01-28",6512117,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"2",35.9352989196777,"2003-01-28",6511678,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"3",46.6496696472168,"2003-01-07",6503221,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"4",33.2322196960449,"2003-02-25",6524295,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"5",33.2322196960449,"2003-02-25",6525053,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"6",47.7303009033203,"2003-01-14",6505479,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"7",47.7303009033203,"2003-01-14",6506168,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"8",68.8114852905273,"2003-03-18",6532794,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"9",68.8114852905273,"2003-03-18",6534320,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"10",47.7303009033203,"2003-01-14",6506179,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"11",66.4314727783203,"2003-03-04",6528090,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"12",24.1141319274902,"2003-02-11",6518305,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"13",35.9352989196777,"2003-01-28",6511812,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"14",128.380874633789,"2003-03-11",6531610,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"15",24.1141319274902,"2003-02-11",6518279,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"16",66.4314727783203,"2003-03-04",6528091,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"17",146.896072387695,"2003-04-08",6545173,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"18",24.1141319274902,"2003-02-11",6517775,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"19",24.1141319274902,"2003-02-11",6517553,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"20",19.5996913909912,"2003-03-25",6538119,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"21",70.8403167724609,"2003-04-22",6551616,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"22",19.5996913909912,"2003-03-25",6538004,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"23",19.5996913909912,"2003-03-25",6538127,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"24",33.2322196960449,"2003-02-25",6526298,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"25",53.5619621276855,"2003-05-13",6562827,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"26",19.5996913909912,"2003-03-25",6539248,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"27",135.604843139648,"2003-04-15",6547997,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"28",19.5996913909912,"2003-03-25",6537243,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"29",19.5996913909912,"2003-03-25",6537491,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"30",74.9806900024414,"2003-05-20",6567678,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"31",19.5996913909912,"2003-03-25",6538000,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"32",41.3250846862793,"2003-05-06",6558898,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"33",141.181060791016,"2003-04-01",6540891,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
"34",41.3250846862793,"2003-05-06",6558399,"ABBOTT LABORATORIES","ARCHER DANIELS MIDLAND COMPANY"
