"","X","MatchAsgName","cluster","Competitors"
"36",36,"BORGWARNER INC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"37",37,"BRUNSWICK CORPORATION",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"38",38,"CALLAWAY GOLF COMPANY",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"39",39,"COLOR KINETICS INCORPORATED",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"40",40,"DAIMLERCHRYSLER AG",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"41",41,"DAIMLERCHRYSLER CORPORATION",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"42",42,"DANA CORPORATION",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"43",43,"DENSO CORPORATION",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"44",44,"EATON CORPORATION",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"45",45,"FISHER CONTROLS INTERNATIONAL INC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"46",46,"FMC TECHNOLOGIES INC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"47",47,"FORD GLOBAL TECHNOLOGIES INC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"48",48,"FORD MOTOR COMPANY",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"49",49,"GENLYTE THOMAS GROUP LLC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"50",50,"GENTEX CORPORATION",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"51",51,"HERMAN MILLER INC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"52",52,"HILL ROM SERVICES INC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"53",53,"LEAR CORPORATION",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"54",54,"MODINE MANUFACTURING COMPANY",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
