"","X","MatchAsgName","cluster","Competitors"
"26",26,"WHIRLPOOL CORPORATION",13,"BAKER HUGHES INCORPORATED, BSH BOSCH UND SIEMENS HAUSGERAETE GMBH, EMERSON ELECTRIC CO, HALLIBURTON ENERGY SERVICES INC, LG ELECTRONICS INC, MAYTAG CORPORATION, SANYO ELECTRIC CO LTD, SCHLUMBERGER TECHNOLOGY CORPORATION"
"27",27,"ACUITY BRANDS INC",14,"ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"28",28,"ACUSHNET COMPANY",14,"ACUITY BRANDS INC, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"29",29,"ALLIANT TECHSYSTEMS INC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"30",30,"ALSTOM (SWITZERLAND) LTD",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"31",31,"ALUMINUM COMPANY OF AMERICA",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"32",32,"ARVINMERITOR GMBH",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ASHLAND INC, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"33",33,"ASHLAND INC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND PRODUCTS INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"34",34,"ASHLAND PRODUCTS INC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, AUTOLIV ASP INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
"35",35,"AUTOLIV ASP INC",14,"ACUITY BRANDS INC, ACUSHNET COMPANY, ALLIANT TECHSYSTEMS INC, ALSTOM (SWITZERLAND) LTD, ALUMINUM COMPANY OF AMERICA, ARVINMERITOR GMBH, ASHLAND INC, ASHLAND PRODUCTS INC, BORGWARNER INC, BRUNSWICK CORPORATION, CALLAWAY GOLF COMPANY, COLOR KINETICS INCORPORATED, DAIMLERCHRYSLER AG, DAIMLERCHRYSLER CORPORATION, DANA CORPORATION, DENSO CORPORATION, EATON CORPORATION, FISHER CONTROLS INTERNATIONAL INC, FMC TECHNOLOGIES INC, FORD GLOBAL TECHNOLOGIES INC, FORD MOTOR COMPANY, GENLYTE THOMAS GROUP LLC, GENTEX CORPORATION, HERMAN MILLER INC, HILL ROM SERVICES INC, LEAR CORPORATION, MODINE MANUFACTURING COMPANY, NISSAN MOTOR CO LTD, NTN CORPORATION, OTIS ELEVATOR COMPANY, PARKER HANNIFIN CORPORATION, SIEMENS VDO AUTOMOTIVE CORPORATION, SIEMENS VDO AUTOMOTIVE INC, SIEMENS WESTINGHOUSE POWER CORPORATION, SPX CORPORATION, STEELCASE DEVELOPMENT CORPORATION, STERIS INC, THE STANLEY WORKS, THE TIMKEN COMPANY, TOYODA GOSEI CO LTD, TOYOTA JIDOSHA KABUSHIKI KAISHA, UNITED TECHNOLOGIES CORPORATION, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION"
